card_no,card_id,code,title,release_status,voice_profile,spoken_text,target_audio_path,status
1,bps1-r01,R01,The Fire Relay,READY,"Warm, human, measured, slightly theatrical neural English voice","The Fire Relay. Relay 1 of 12 — The Civilisational Relay. The mastery of fire transformed nomadic survival into settled civilisation. Cooking, warmth, protection, and the forge — every infrastructure epoch that followed began here.",/assets/audio/series-1/bps1-r01.mp3,READY_FOR_NEURAL_TTS
2,bps1-r02,R02,The Tree Relay,READY,"Warm, human, measured, slightly theatrical neural English voice","The Tree Relay. Relay 2 of 12 — The Civilisational Relay. The tree gave humanity its first renewable material. Timber framed shelters, bridges, and ships. From the sacred groves of Mesopotamia to the shipyards of Phoenicia — wood was the scaffold of civilisation.",/assets/audio/series-1/bps1-r02.mp3,READY_FOR_NEURAL_TTS
3,bps1-r03,R03,The River Relay,READY,"Warm, human, measured, slightly theatrical neural English voice","The River Relay. Relay 3 of 12 — The Civilisational Relay. Rivers taught humanity to engineer water. Irrigation, flood control, and navigation — the hydraulic civilisations of Egypt, Mesopotamia, and the Indus Valley proved that controlling water meant controlling destiny.",/assets/audio/series-1/bps1-r03.mp3,READY_FOR_NEURAL_TTS
4,bps1-r04,R04,The Horse Relay,READY,"Warm, human, measured, slightly theatrical neural English voice","The Horse Relay. Relay 4 of 12 — The Civilisational Relay. The horse collapsed distance. Mounted messengers, cavalry, and caravans connected civilisations across continents. The Silk Road, the Mongol relay system, the Pony Express — speed became infrastructure.",/assets/audio/series-1/bps1-r04.mp3,READY_FOR_NEURAL_TTS
5,bps1-r05,R05,The Roads Relay,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","The Roads Relay. Relay 5 of 12 — The Civilisational Relay. Roads made empires possible. Roman engineering connected 400,000 km of routes from Britain to Babylon. The road was law, trade, and military power made permanent in stone.",/assets/audio/series-1/bps1-r05.mp3,WAITING_FOR_APPROVED_COPY
6,bps1-r06,R06,The Ships Relay,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","The Ships Relay. Relay 6 of 12 — The Civilisational Relay. Ships turned the planet into a network. From Zheng He to Columbus, maritime infrastructure connected every continent. Ports, lighthouses, and navigation charts made the world one market.",/assets/audio/series-1/bps1-r06.mp3,WAITING_FOR_APPROVED_COPY
7,bps1-r07,R07,The Loom Relay,READY,"Warm, human, measured, slightly theatrical neural English voice","The Loom Relay. Relay 7 of 12 — The Civilisational Relay. The loom was the first programmable machine. Jacquard punch cards preceded computers by 150 years. Textiles drove the factory system, urbanisation, and the birth of industrial capitalism.",/assets/audio/series-1/bps1-r07.mp3,READY_FOR_NEURAL_TTS
8,bps1-r08,R08,The Rail Relay,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","The Rail Relay. Relay 8 of 12 — The Civilisational Relay. Rail compressed geography. Stephenson to Brunel — iron roads carried coal, people, and ideas at unprecedented speed. The railway was the internet of the 19th century, connecting every town to every market.",/assets/audio/series-1/bps1-r08.mp3,WAITING_FOR_APPROVED_COPY
9,bps1-r09,R09,The Engine Relay,HOLD,"Warm, human, measured, slightly theatrical neural English voice","The Engine Relay. Relay 9 of 12 — The Civilisational Relay. Electricity rewired civilisation. From Tesla and Edison to the national grid — the engine relay electrified factories, homes, and communications. Power became invisible, ubiquitous, and transformative.",/assets/audio/series-1/bps1-r09.mp3,WAITING_FOR_APPROVED_COPY
10,bps1-r10,R10,The AAA Triad,READY,"Warm, human, measured, slightly theatrical neural English voice","The AAA Triad. Relay 10 of 12 — The Civilisational Relay. Aviation, Automobile, and Airwaves — the AAA Triad collapsed time, space, and information simultaneously. The 20th century built three parallel infrastructure networks that made globalisation inevitable.",/assets/audio/series-1/bps1-r10.mp3,READY_FOR_NEURAL_TTS
