card_no,card_id,code,title,suit_name,is_joker,release_status,website_route,igo_asset_type,david_mode,content_status,content_severity,visual_severity,visual_action,clean_source_required,alt_text,original_jpg,webp_large,webp_medium,webp_thumb
1,bps1-r01,R01,The Fire Relay,The Relay,False,READY,/bitpoints/series-1/r01-the-fire-relay,Relay Key,Navigator,APPROVED,PASS,PASS,APPROVE,False,"The Fire Relay — A group of early humans is gathered around a large, bright campfire in a rocky, ancient setting at twilight.",assets/jpg/original/01_r01_the-fire-relay.jpg,assets/webp/large/01_r01_the-fire-relay.webp,assets/webp/medium/01_r01_the-fire-relay.webp,assets/webp/thumb/01_r01_the-fire-relay.webp
2,bps1-r02,R02,The Tree Relay,The Relay,False,READY,/bitpoints/series-1/r02-the-tree-relay,Relay Key,Navigator,APPROVED,PASS,PASS,APPROVE,False,"The Tree Relay — A large, ancient tree stands at the center of a busy settlement where people are constructing wooden buildings and platforms.",assets/jpg/original/02_r02_the-tree-relay.jpg,assets/webp/large/02_r02_the-tree-relay.webp,assets/webp/medium/02_r02_the-tree-relay.webp,assets/webp/thumb/02_r02_the-tree-relay.webp
3,bps1-r03,R03,The River Relay,The Relay,False,READY,/bitpoints/series-1/r03-the-river-relay,Relay Key,Navigator,APPROVED,PASS,PASS,APPROVE,False,"The River Relay — A sweeping landscape showing a wide river flowing through a dry region, with a dam or weir structure across it.",assets/jpg/original/03_r03_the-river-relay.jpg,assets/webp/large/03_r03_the-river-relay.webp,assets/webp/medium/03_r03_the-river-relay.webp,assets/webp/thumb/03_r03_the-river-relay.webp
4,bps1-r04,R04,The Horse Relay,The Relay,False,READY,/bitpoints/series-1/r04-the-horse-relay,Relay Key,Navigator,APPROVED,PASS,PASS,APPROVE,False,"The Horse Relay — Several riders on horseback are galloping across a grassy plain, kicking up dust, with a caravan of camels and more riders following behind.",assets/jpg/original/04_r04_the-horse-relay.jpg,assets/webp/large/04_r04_the-horse-relay.webp,assets/webp/medium/04_r04_the-horse-relay.webp,assets/webp/thumb/04_r04_the-horse-relay.webp
5,bps1-r05,R05,The Roads Relay,The Relay,False,CONDITIONAL,/bitpoints/series-1/r05-the-roads-relay,Relay Key,Navigator,CORRECT,MEDIUM,LOW,RETOUCH,False,"The Roads Relay — A long column of Roman soldiers marches down a stone-paved road towards the viewer, with milestones on the left.",assets/jpg/original/05_r05_the-roads-relay.jpg,assets/webp/large/05_r05_the-roads-relay.webp,assets/webp/medium/05_r05_the-roads-relay.webp,assets/webp/thumb/05_r05_the-roads-relay.webp
6,bps1-r06,R06,The Ships Relay,The Relay,False,CONDITIONAL,/bitpoints/series-1/r06-the-ships-relay,Relay Key,Navigator,CORRECT,MEDIUM,PASS,APPROVE,False,"The Ships Relay — A large wooden sailing ship navigates through choppy waters at sunset, with a coastal city and other ships visible in the background.",assets/jpg/original/06_r06_the-ships-relay.jpg,assets/webp/large/06_r06_the-ships-relay.webp,assets/webp/medium/06_r06_the-ships-relay.webp,assets/webp/thumb/06_r06_the-ships-relay.webp
7,bps1-r07,R07,The Loom Relay,The Relay,False,READY,/bitpoints/series-1/r07-the-loom-relay,Relay Key,Navigator,APPROVED,PASS,PASS,APPROVE,False,"The Loom Relay — The central artwork depicts an industrial workshop where workers operate a large mechanical loom to weave intricate, colourful textiles.",assets/jpg/original/07_r07_the-loom-relay.jpg,assets/webp/large/07_r07_the-loom-relay.webp,assets/webp/medium/07_r07_the-loom-relay.webp,assets/webp/thumb/07_r07_the-loom-relay.webp
8,bps1-r08,R08,The Rail Relay,The Relay,False,CONDITIONAL,/bitpoints/series-1/r08-the-rail-relay,Relay Key,Navigator,CLARIFY,MEDIUM,PASS,APPROVE,False,The Rail Relay — A steam locomotive pulls out of a tunnel into a rural station nestled in a mountainous landscape.,assets/jpg/original/08_r08_the-rail-relay.jpg,assets/webp/large/08_r08_the-rail-relay.webp,assets/webp/medium/08_r08_the-rail-relay.webp,assets/webp/thumb/08_r08_the-rail-relay.webp
9,bps1-r09,R09,The Engine Relay,The Relay,False,HOLD,/bitpoints/series-1/r09-the-engine-relay,Relay Key,Navigator,REBUILD,HIGH,HIGH,REBUILD,False,"The Engine Relay — A large Tesla coil generates intense electrical arcs in the foreground, with power lines leading towards a massive hydroelectric dam in the distance.",assets/jpg/original/09_r09_the-engine-relay.jpg,assets/webp/large/09_r09_the-engine-relay.webp,assets/webp/medium/09_r09_the-engine-relay.webp,assets/webp/thumb/09_r09_the-engine-relay.webp
10,bps1-r10,R10,The AAA Triad,The Relay,False,READY,/bitpoints/series-1/r10-the-aaa-triad,Relay Key,Navigator,APPROVED,PASS,PASS,APPROVE,False,The AAA Triad — The central artwork is divided into four sections converging on a bright central starburst.,assets/jpg/original/10_r10_the-aaa-triad.jpg,assets/webp/large/10_r10_the-aaa-triad.webp,assets/webp/medium/10_r10_the-aaa-triad.webp,assets/webp/thumb/10_r10_the-aaa-triad.webp
11,bps1-r11,R11,The Orbit Relay,The Relay,False,READY,/bitpoints/series-1/r11-the-orbit-relay,Relay Key,Navigator,APPROVED,PASS,PASS,APPROVE,False,The Orbit Relay — A view of Earth from space with numerous satellites and the International Space Station in orbit.,assets/jpg/original/11_r11_the-orbit-relay.jpg,assets/webp/large/11_r11_the-orbit-relay.webp,assets/webp/medium/11_r11_the-orbit-relay.webp,assets/webp/thumb/11_r11_the-orbit-relay.webp
12,bps1-r12,R12,Human Nodes,The Relay,False,READY,/bitpoints/series-1/r12-human-nodes,Relay Key,Navigator,APPROVED,PASS,PASS,APPROVE,False,"Human Nodes — A group of people stand in a circle holding hands, connected by glowing energy lines that converge in the center.",assets/jpg/original/12_r12_human-nodes.jpg,assets/webp/large/12_r12_human-nodes.webp,assets/webp/medium/12_r12_human-nodes.webp,assets/webp/thumb/12_r12_human-nodes.webp
13,bps1-rj1,RJ1,Use of Spies,The Relay,True,HOLD,/bitpoints/series-1/rj1-use-of-spies,Reconnaissance Wildcard,Scout,APPROVED,PASS,HIGH,RETOUCH,False,"Use of Spies — A hooded, robed figure stands centrally holding a staff and a scroll, surrounded by a glowing geometric web connecting ten circular vignettes of various scenes.",assets/jpg/original/13_rj1_use-of-spies.jpg,assets/webp/large/13_rj1_use-of-spies.webp,assets/webp/medium/13_rj1_use-of-spies.webp,assets/webp/thumb/13_rj1_use-of-spies.webp
14,bps1-rj2,RJ2,Mirror Table,The Relay,True,HOLD,/bitpoints/series-1/rj2-mirror-table,Comparison Wildcard,Mirror,REIDENTIFY,HIGH,HIGH,RELABEL,False,"Mirror Table — The artwork features a large central table comparing military and civil concepts across thirteen chapters, below a title section.",assets/jpg/original/14_rj2_mirror-table.jpg,assets/webp/large/14_rj2_mirror-table.webp,assets/webp/medium/14_rj2_mirror-table.webp,assets/webp/thumb/14_rj2_mirror-table.webp
15,bps1-rj3,RJ3,Side Mirror,The Relay,True,HOLD,/bitpoints/series-1/rj3-side-mirror,Inversion Wildcard,Mirror,REBUILD,HIGH,HIGH,REBUILD,False,Side Mirror — A structured comparison table mapping thirteen military principles from Sun Tzu to civil engineering concepts.,assets/jpg/original/15_rj3_side-mirror.jpg,assets/webp/large/15_rj3_side-mirror.webp,assets/webp/medium/15_rj3_side-mirror.webp,assets/webp/thumb/15_rj3_side-mirror.webp
